8.000000000000000000e+01 9.550129158615663916e-02 0.000000000000000000e+00
8.400000000000000000e+01 9.609574545181931438e-02 0.000000000000000000e+00
8.800000000000000000e+01 9.768510912082797870e-02 0.000000000000000000e+00
9.200000000000000000e+01 9.653594136464560549e-02 0.000000000000000000e+00
9.600000000000000000e+01 9.133979357037944058e-02 0.000000000000000000e+00
1.000000000000000000e+02 8.651116833151430152e-02 0.000000000000000000e+00
1.040000000000000000e+02 8.456559985765239873e-02 0.000000000000000000e+00
1.080000000000000000e+02 8.413857954043503506e-02 0.000000000000000000e+00
1.120000000000000000e+02 8.403071478287965634e-02 0.000000000000000000e+00
1.160000000000000000e+02 8.225748266983501367e-02 0.000000000000000000e+00
1.200000000000000000e+02 7.920870457041888357e-02 0.000000000000000000e+00
1.240000000000000000e+02 7.686932085980244245e-02 0.000000000000000000e+00
1.280000000000000000e+02 7.534331839070686210e-02 0.000000000000000000e+00
