1.000000000000000021e-02 4.472135954999579610e+00
2.000000000000000042e-02 4.472135954984759465e+00
2.999999999999999889e-02 4.472135879484825161e+00
4.000000000000000083e-02 4.472130330796629138e+00
5.000000000000000278e-02 4.472059352083524786e+00
6.000000000000000472e-02 4.471691708149217348e+00
6.999999999999999278e-02 4.470558325917061815e+00
8.000000000000000167e-02 4.468019559377583327e+00
8.999999999999999667e-02 4.463401463130254321e+00
9.999999999999999167e-02 4.456115252132910598e+00
1.100000000000000006e-01 4.445725812138953792e+00
1.199999999999999956e-01 4.431973065117067456e+00
1.300000000000000044e-01 4.414762214936043705e+00
1.400000000000000133e-01 4.394137941245626955e+00
1.500000000000000222e-01 4.370253008291492769e+00
1.600000000000000033e-01 4.343337436656006467e+00
1.700000000000000122e-01 4.313671317906890401e+00
1.800000000000000211e-01 4.281562444320493377e+00
1.900000000000000022e-01 4.247328849996174327e+00
