1.000000000000000021e-02 4.332860037020317634e+00
2.000000000000000042e-02 4.332862163990734317e+00
2.999999999999999889e-02 4.334169838156423538e+00
4.000000000000000083e-02 4.350564318628324045e+00
5.000000000000000278e-02 4.391121961036265731e+00
6.000000000000000472e-02 4.433412387381753916e+00
6.999999999999999278e-02 4.459759345582538614e+00
8.000000000000000167e-02 4.470820891938410924e+00
8.999999999999999667e-02 4.472572897092558009e+00
9.999999999999999167e-02 4.469051721507378616e+00
1.100000000000000006e-01 4.461996432482324693e+00
1.199999999999999956e-01 4.451971302328355584e+00
1.300000000000000044e-01 4.439123667402141038e+00
1.400000000000000133e-01 4.423511604586906287e+00
1.500000000000000222e-01 4.405212156713504079e+00
1.600000000000000033e-01 4.384344187759840139e+00
1.700000000000000122e-01 4.361063863921348371e+00
1.800000000000000211e-01 4.335553567162619970e+00
1.900000000000000022e-01 4.308011027203089149e+00
